11/22/63, Stephen King
The Unbearable Lightness of Being, Milan Kundera
The Universe in a Nutshell, Stephen Hawking
The Unix-Haters Handbook, Simson L. Garfinkel
The Unwinding, George Packer
The Vital Question [x], Nick Lane
The Way of the Knife, Mark Mazzetti
The Wheel of Time, Robert Jordan
The Wicked + The Divine, Kieron Gillen
The Wisdom of Crowds, James Surowiecki
Their Eyes Were Watching God, Zora Neale Hurston
They Can't Kill Us All [x], Wesley Lowery
Thing Explainer: Complicated Stuff in Simple Words, Randall Munroe
This Book Is Full of Spiders [x], David Wong
This Is Water, David Foster Wallace
This Machine Kills Secrets, Andy Greenberg
This Time is Different, Carmen M. Reinhart
This Will Change Everything [x], John Brockman
Through the Woods, Emily Caroll
Tibetan Peach Pie, Tom Robbins
Titus Groan, Mervyn Peake
To Repair the World, Paul Farmer
Tokyo Vice, Jake Adelstein
Too Big to Fail, Andrew Ross Sorkin
Tools of Titans [x], Timothy Ferriss
Travels with Charley in Search of America, John Steinbeck
Tropic of Cancer, Henry Miller
Ulysses, James Joyce
Unbroken, Laura Hillenbrand
Undeniable, Bill Nye
Unstoppable, Bill Nye
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel, Rolf Potts
Valley of the Dolls [x], Jacqueline Susann
Walden, Henry David Thoreau
Walking the Amazon, Ed Stafford
Watership Down, Richard Adams
We Are All Completely Beside Ourselves, Karen Joy Fowler
We Are Anonymous, Parmy Olson
We Have Always Lived In The Castle, Shirley Jackson
Wealth of Nations, Adam Smith
What Every BODY is Saying, Joe Navarro
What I Learned Losing a Million Dollars, Jim Paul
What the Dormouse Said, John Markoff
When Breath Becomes Air, Paul Kalanithi
When Google Met Wikileaks, Julian Assange
Wherever you go there you are, Jon Kabat-Zinn
Wikinomics: How Mass Collaboration Changes Everything, Don Tapscott
Winning, Jack Welch
Without Feathers, Woody Allen
Women, Charles Bukowski
Wonder, R.J. Palacio
World Without Mind, Franklin Foer
Yes Please, Amy Poehler
You'll Grow Out of It [x], Jessi Klein
Zero to One: Notes on Startups or How to Build the Future, Peter Thiel
