title, author, genre, # pages, rating, # ratings, progress
Permanent Midnight, Jerry Stahl, Non Fiction,371,3.96,1157,
Girl with Curious Hair, David Foster Wallace, Fiction,373,3.89,8133,
Oryx and Crake (MaddAddam #1), Margaret Atwood, Fiction,374,3.98,128665,
Lolita, Vladimir Nabokov, Literature,378,3.87,437071,
Cosmos, Carl Sagan, Science,384,4.36,56661,
Essays of E.B. White, E.B. White, Writing,384,4.33,2084,
Pale Blue Dot: A Vision of the Human Future in Space, Carl Sagan, Science,384,4.3,15737,
This Machine Kills Secrets: How WikiLeakers Cypherpunks and Hacktivists Aim to Free the World's Informatio n, Andy Greenberg, Non Fiction,384,4.04,545,
Walden, Henry David Thoreau, Classics,384,3.79,97296,
When the Killing's Done, T.C. Boyle, Fiction,384,3.59,3476,
Winning (Winning #1), Jack Welch, Business,384,3.77,25619,
The Dispossessed (Hainish Cycle #5), Ursula K. Le Guin, Science Fiction,387,4.16,38202,
Sandman Slim (Sandman Slim #1), Richard Kadrey, Fantasy,388,3.93,21113,
The Burning Room (Harry Bosch #19), Michael Connelly, Mystery,388,4,17488,
This Will Change Everything: Ideas That Will Shape the Future (Mokslas visiems), John Brockman, Science,390,3.65,383,
Twenty Thousand Leagues Under the Sea (Captain Nemo #1), Jules Verne, Classics,394,3.83,111909,
Titus Groan (Gormenghast #1), Mervyn Peake, Fantasy,396,3.9,9279,
On the Move: A Life, Oliver Sacks, Non Fiction,397,4.03,2693,
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World, Bruce Schneier, Non Fiction,400,4.07,556,
Elon Musk: Inventing the Future, Ashlee Vance, Non Fiction,400,4.19,10262,
How Markets Fail: The Logic of Economic Calamities, John Cassidy, Economics,400,4.02,1367,
The Three-Body Problem (Three Body #1), Liu Cixin, Science Fiction,400,4.01,8291,
Age of Ambition: Chasing Fortune Truth and Faith in the New China, Evan Osnos, Cultural,403,4.23,1950,
Sophie's World, Jostein Gaarder, Philosophy,403,3.84,112588,
The Third Chimpanzee: The Evolution & Future of the Human Animal, Jared Diamond, Science,407,4.02,12880,
My Age of Anxiety: Fear Hope Dread and the Search for Peace of Mind, Scott Stossel, Non Fiction,416,3.81,3310,
The Hero With a Thousand Faces, Joseph Campbell, Non Fiction,416,4.25,16527,
Infections and Inequalities: The Modern Plagues, Paul Farmer, Non Fiction,419,4.09,1901,
Walden: And Civil Disobedience. Henry David Thoreau (Classic Masterpiece Series ), Henry David Thoreau, Non Fiction,432,3.97,23890,
The Secret Sentry: The Untold History of the National Security Agency, Matthew M. Aid, History,432,3.51,221,
